fdic_certificate_number,institution_name,state_name,fdic_id,docket,active,address,total_assets,bank_charter_class,change_code_1,change_code_2,change_code_3,change_code_4,change_code_5,change_code_6,change_code_7,change_code_8,change_code_9,change_code_10,change_code_11,change_code_12,change_code_13,change_code_14,change_code_15,occ_charter,chartering_agency,conservatorship,city,category_code,county_fips_code,county_name,established_date,last_updated,effective_date,end_effective_date,denovo_institute,total_deposits,equity_capital,fdic_geo_region,fdic_supervisory_region,fdic_supervisory_region_code,fed_reserve_district,fed_reserve_district_id,fed_reserve_unique_id,federal_charter,fdic_field_office,iba,inactive_flag,insurance_fund_membership,secondary_insurance_fund,deposit_insurance_date,credit_card_institution,bank_insurance_fund_member,insured_commercial_bank,deposit_insurance_fund_member,fdic_insured,saif_insured,insured_savings_institute,new_cert_number,oakar_institute,ots_region,last_structural_change,qbp_region,regulator,report_date,reporting_period_end_date,state_chartered,return_on_assets,roa_quarterly,roa_pretax,row_pretax_quarterly,return_on_equity,roe_quarterly,run_date,sasser_institute,law_sasser,state,state_fips_code,trade_name_1,trade_name_2,trade_name_3,trade_name_4,trade_name_5,trade_name_6,zip_code,occ_district,ultimate_cert_number,cfpb_supervisory_flag,cfpb_supervisory_start_date,cfpb_supervisory_end_date,offices_count,parent_fdic_cert,parent_parcert,high_holder_city,total_domestic_deposits,ffiec_call_report_filer,holding_company_flag,ag_lending_flag,ownership_type,top_holder,net_income,quarterly_net_income,office_count_domestic,office_count_foreign,office_count_us_territories,rssd_id,holding_company_state,interstate_branches,subchap_s_indicator,trust_powers_status,asset_concentration_hierarchy,primary_specialization,csa_name,csa_fips_code,csa_indicator,cbsa_name,cbsa_fips_code,cbsa_metro_flag,cbsa_micro_flag,cbsa_division_name,cbsa_division_fips_code,cbsa_division_flag
58255,River Bank & Trust,Alabama,444616,0,true,2611 Legends Drive,1364103,NM,810,,,,,,,,,,,,,,,0,STATE,false,Prattville,21,01001,Autauga,2006-04-03,2019-11-05,2019-10-31,,false,1177634,167967,05,Atlanta,05,Atlanta,6,3437157,false,Montgomery,false,false,DIF,,2006-04-03,false,false,true,true,true,false,false,0,false,Southeast,2019-11-05,2,FDIC,2019-12-31,2019-06-30,true,1.23,1.43,1.56,1.81,10.12,11.69,2020-02-28,false,false,AL,1,,,,,,,36066,5,58255,false,,,18,0,0,PRATTVILLE,1177634,false,false,false,false,RIVER FINANCIAL CORPORATION,14186,4469,18,0,0,4422851,AL,false,false,0,4,Commercial Lending Specialization,"Montgomery-Selma-Alexander City, AL",388,true,"Montgomery, AL",33860,true,false,,,false
15309,Bank of Prattville,Alabama,9649,10725,false,124 West Main Street,159711,NM,223,,,,,,,,,,,,,,,0,STATE,false,Prattville,21,01001,Autauga,1935-09-11,2001-06-28,2001-06-08,2001-06-08,false,131915,23061,05,Atlanta,13,Dallas,6,591834,false,Montgomery,false,true,BIF,,1935-12-06,false,true,true,false,true,false,false,18538,false,Southeast,2001-06-28,2,FDIC,2001-03-31,2019-06-30,true,-0.95,-0.95,-1.09,-1.09,-6.95,-6.95,2020-02-28,false,false,AL,1,,,,,,,36067,5,12441,false,,,,0,0,NEW ORLEANS,131915,false,true,false,false,WHITNEY HOLDING CORPORATION,-380,-380,4,0,0,1079740,LA,false,false,1,4,Commercial Lending Specialization,"Montgomery-Selma-Alexander City, AL",388,true,"Montgomery, AL",33860,true,false,,,false
2772,The Albertville National Bank,Alabama,1806,0,false,1901 East Main Street,62988,N,223,820,520,510,510,,,,,,,,,,,11820,OCC,false,Prattville,3,01001,Autauga,1904-01-01,1990-10-04,1987-10-23,1987-10-23,false,56033,5803,05,Atlanta,05,Atlanta,6,649838,true,Montgomery,false,true,BIF,,1934-01-01,false,true,true,false,true,false,false,12368,false,Southeast,1988-01-21,2,OCC,1987-09-30,2019-06-30,false,1.37,1.34,1.56,1.59,15.15,14.59,2020-02-28,false,false,AL,1,,,,,,,36067,5,12368,false,,,,0,0,ALBERTVILLE,56033,false,false,false,false,"ALBERTVILLE BANCSHARES, INC.",648,212,2,0,0,1085648,AL,false,false,1,8,All Other Under 1 Billion,"Montgomery-Selma-Alexander City, AL",388,true,"Montgomery, AL",33860,true,false,,,false
18006,The Citizens Bank,Alabama,11936,0,false,148 East Main Street,51143,NM,223,,,,,,,,,,,,,,,0,STATE,false,Prattville,21,01001,Autauga,1959-06-05,1994-03-30,1994-02-26,1994-02-26,false,44883,6023,05,Atlanta,05,Atlanta,6,469139,false,Montgomery,false,true,BIF,,1959-06-05,false,true,true,false,true,false,false,860,false,Southeast,1994-03-30,2,FDIC,1993-12-31,2019-06-30,true,1.24,1.18,1.75,1.34,10.71,10.23,2020-02-28,false,false,AL,1,,,,,,,36067,5,4988,false,,,,0,0,SELMA,44883,false,true,false,false,"PEOPLES BANCTRUST COMPANY, INC., THE",626,153,3,0,0,1132298,AL,false,false,0,7,Other Specialized Under 1 Billion,"Montgomery-Selma-Alexander City, AL",388,true,"Montgomery, AL",33860,true,false,,,false
17367,"First Alabama Bank of Baldwin County, N. A.",Alabama,11372,0,false,101 Hand Avenue,29807,N,223,,,,,,,,,,,,,,,14720,OCC,false,Bay Minette,3,01003,Baldwin,1954-11-27,1990-10-04,1985-06-15,1985-06-15,false,25956,3135,05,Atlanta,05,Atlanta,6,874238,true,Montgomery,false,true,BIF,,1954-11-27,false,true,true,false,true,false,false,12368,false,Southeast,1985-08-08,2,OCC,1985-03-31,2019-06-30,false,1.2,1.2,1.8,1.8,11.93,11.93,2020-02-28,false,false,AL,1,,,,,,,36507,5,12368,false,,,,0,0,MONTGOMERY,25956,false,true,false,false,"FIRST ALABAMA BANCSHARES, INC.",93,93,3,0,0,1078332,AL,false,false,0,8,All Other Under 1 Billion,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
19023,Heritage First Bank,Alabama,12863,0,false,1820 South Gulf Shores Parkway,54607,NM,223,,,,,,,,,,,,,,,0,STATE,false,Gulf Shores,21,01003,Baldwin,1964-02-14,2012-01-05,2011-12-09,2011-12-09,false,51051,3390,05,Atlanta,05,Atlanta,6,420934,false,Montgomery,false,true,DIF,,1964-02-14,false,false,true,true,true,false,false,12203,false,Southeast,2012-01-05,2,FDIC,2011-09-30,2019-06-30,true,-3.16,-0.92,-3.16,-0.92,-52.14,-14.38,2020-02-28,false,false,AL,1,,,,,,,36542,5,12203,false,,,,0,0,ROME,51051,false,true,false,false,"HERITAGE FIRST BANCSHARES, INC.",-1312,-124,2,0,0,3347274,GA,false,true,0,8,All Other Under 1 Billion,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
1729,The Colonial Bank - Gulf Coast Region,Alabama,1141,0,false,Alston And Laurel Streets,158967,NM,223,,,,,,,,,,,,,,,0,STATE,false,Foley,21,01003,Baldwin,1932-01-01,1990-10-04,1990-03-29,1990-03-29,false,149002,7842,05,Atlanta,05,Atlanta,6,381736,false,Montgomery,false,true,BIF,,1934-01-01,false,true,true,false,true,false,false,9609,false,Southeast,1990-04-09,2,FDIC,1989-12-31,2019-06-30,true,-1.26,-5.04,-1.26,-5.13,-20.25,-89.43,2020-02-28,false,false,AL,1,,,,,,,36535,5,9846,false,,,,0,0,MONTGOMERY,149002,false,true,false,false,"COLONIAL BANCGROUP, INC., THE",-1914,-1974,8,0,0,1080465,AL,false,false,0,4,Commercial Lending Specialization,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
23523,"Citizens' Bank, Inc.",Alabama,16476,13156,true,21980 Palmer Street,107444,NM,510,,,,,,,,,,,,,,,0,STATE,false,Robertsdale,21,01003,Baldwin,1981-09-08,2013-03-20,2013-03-20,,false,93223,13573,05,Atlanta,05,Atlanta,6,563336,false,Montgomery,false,false,DIF,,1981-09-08,false,false,true,true,true,false,false,0,false,Southeast,2013-03-20,2,FDIC,2019-12-31,2019-06-30,true,0.58,0.41,0.58,0.34,4.75,3.28,2020-02-28,false,false,AL,1,,,,,,,36567,5,23523,false,,,3,0,0,ROBERTSDALE,93223,false,false,false,false,CITIZENS' CAPITAL CORPORATION,629,111,3,0,0,1144040,AL,false,true,0,4,Commercial Lending Specialization,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
12069,First Alabama Bank of South Baldwin,Alabama,7671,0,false,422 South Mckenzie Street,50451,NM,223,,,,,,,,,,,,,,,0,STATE,false,Foley,21,01003,Baldwin,1922-01-01,1990-10-04,1985-06-15,1985-06-15,false,44633,4907,05,Atlanta,05,Atlanta,6,619233,false,Montgomery,false,true,BIF,,1934-01-01,false,true,true,false,true,false,false,12368,false,Southeast,1985-08-08,2,FDIC,1985-03-31,2019-06-30,true,1.31,1.31,1.97,1.97,13.5,13.5,2020-02-28,false,false,AL,1,,,,,,,36535,5,12368,false,,,,0,0,MONTGOMERY,44633,false,true,false,false,"FIRST ALABAMA BANCSHARES, INC.",164,164,3,0,0,1078332,AL,false,false,0,7,Other Specialized Under 1 Billion,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
57181,First National Bank of Baldwin County,Alabama,359048,0,false,1207 North Mckenzie Street,187935,N,223,,,,,,,,,,,,,,,24220,OCC,false,Foley,3,01003,Baldwin,2001-12-28,2013-05-15,2013-04-30,2013-04-30,false,183592,3592,05,Atlanta,05,Atlanta,6,3077937,true,Montgomery,false,true,DIF,,2001-12-28,false,false,true,true,true,false,false,34217,false,Southeast,2013-05-15,2,OCC,2013-03-31,2019-06-30,false,-0.94,-0.94,-0.94,-0.94,-46.25,-46.25,2020-02-28,false,false,AL,1,,,,,,,36535,5,34217,false,,,,0,0,FOLEY,183592,false,false,false,false,"FIRST BALDWIN BANCSHARES, INC.",-441,-441,5,0,0,3466371,AL,false,false,0,4,Commercial Lending Specialization,"Mobile-Daphne-Fairhope, AL",380,true,"Daphne-Fairhope-Foley, AL",19300,true,false,,,false
